Time Quantity            
0    0                   
1    0                   
2    0                   
3    0                   
4    0                   
5    0                   
6    0                   
7    0                   
8    0                   
9    0                   
10   0                   
11   0                   
12   0                   
13   0                   
14   0                   
15   0                   
16   0                   
17   0                   
18   0                   
19   0                   
20   0.03                
21   0.03                
22   0.03                
23   0.03                
24   0.03                
25   0.06                
26   0.06                
27   0.06                
28   0.06                
29   0.06                
30   0.09                
31   0.09                
32   0.09                
33   0.09                
34   0.09                
35   0.12                
36   0.12                
37   0.12                
38   0.12                
39   0.12                
40   0.15                
41   0.15                
42   0.15                
43   0.15                
44   0.15                
45   0.18                
46   0.18                
47   0.18                
48   0.18                
49   0.18                
50   0.21                
51   0.21                
52   0.21                
53   0.21                
54   0.21                
55   0.24                
56   0.24                
57   0.24                
58   0.24                
59   0.24                
60   0.27                
61   0.27                
62   0.27                
63   0.27                
64   0.27                
65   0.30000000000000004 
66   0.30000000000000004 
67   0.30000000000000004 
68   0.30000000000000004 
69   0.30000000000000004 
70   0.33000000000000007 
71   0.33000000000000007 
72   0.33000000000000007 
73   0.33000000000000007 
74   0.33000000000000007 
75   0.3600000000000001  
76   0.3600000000000001  
77   0.3600000000000001  
78   0.3600000000000001  
79   0.3600000000000001  
80   0.3900000000000001  
81   0.3900000000000001  
82   0.3900000000000001  
83   0.3900000000000001  
84   0.3900000000000001  
85   0.42000000000000015 
86   0.42000000000000015 
87   0.42000000000000015 
88   0.42000000000000015 
89   0.42000000000000015 
90   0.4500000000000002  
91   0.4500000000000002  
92   0.4500000000000002  
93   0.4500000000000002  
94   0.4500000000000002  
95   0.4800000000000002  
96   0.4800000000000002  
97   0.4800000000000002  
98   0.4800000000000002  
99   0.4800000000000002  
