SimId                                AgentId Time Value                  
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      0    7.128489187269613e-309 
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      1    207.60402722501703     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      2    223.69793437358476     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      3    250.68334752023407     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      4    172.57933190306767     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      5    306.52882925765925     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      6    253.74549429828176     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      7    217.11743980661436     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      8    224.4205968210406      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      9    142.69366925399004     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      10   218.61956379711455     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      11   140.55745789137302     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      12   281.56811310433864     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      13   228.71841809451416     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      14   175.10901252657277     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      15   141.89028179833156     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      16   285.96818365054696     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      17   278.8820772566942      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      18   139.2594852957186      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      19   174.98023376387823     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      20   146.44686787020242     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      21   150.95871039194503     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      22   214.21131324472526     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      23   211.7324672467371      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      24   182.7539333413415      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      25   278.8012778748043      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      26   147.92906373426194     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      27   293.1887950163184      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      28   256.7735209114344      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      29   298.2013570464517      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      30   186.26574145726397     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      31   297.41758818543576     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      32   214.22519000037937     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      33   224.6204315157363      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      34   215.3272049117686      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      35   256.8995483462135      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      36   254.3515439950761      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      37   284.67953503945705     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      38   177.65464915593725     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      39   215.3207362721207      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      40   303.02489906851696     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      41   209.67809881229573     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      42   259.02793362454145     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      43   172.01133330430935     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      44   260.3401811723263      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      45   175.41790694078148     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      46   265.70020203717854     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      47   145.5976860336026      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      48   250.6974348097756      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      49   211.00656203248082     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      50   261.33343395824664     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      51   242.82805759591474     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      52   294.8277163709679      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      53   215.03777510471923     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      54   168.50534979195322     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      55   195.16247707407828     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      56   271.5131638965181      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      57   279.3036878162309      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      58   233.51813595379895     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      59   144.90312666606064     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      60   294.5763553546685      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      61   285.36847561377226     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      62   283.53262696275556     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      63   263.98039896574574     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      64   142.81726398113437     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      65   147.11677070022634     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      66   182.332083246793       
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      67   243.53234172773818     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      68   238.86131725925952     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      69   139.53203543213442     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      70   234.0023990103632      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      71   311.5846357949581      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      72   135.85898326220774     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      73   221.4525790407738      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      74   132.9923424369283      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      75   141.95968342898348     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      76   294.8689587866593      
