SimId                                AgentId Time Value                  
7972dddf-ec31-4028-ac54-a0cd33214a03 14      0    4.272430437557403e+180 
7972dddf-ec31-4028-ac54-a0cd33214a03 14      1    185.76928424096332     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      2    231.76816615871599     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      3    247.8418111593851      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      4    163.6545138881247      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      5    360.07880671316        
7972dddf-ec31-4028-ac54-a0cd33214a03 14      6    244.0020618808892      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      7    234.70786131276327     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      8    247.43424866289047     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      9    144.06284771662115     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      10   229.71875868040593     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      11   127.36354989256029     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      12   241.69183522118055     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      13   297.0937590679421      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      14   186.7270584943592      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      15   150.84654492896038     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      16   243.61690663233753     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      17   242.64737540399938     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      18   128.82374655221247     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      19   169.9212161641933      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      20   126.71206668404359     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      21   198.5445484328318      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      22   209.83723798145866     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      23   196.19904798685616     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      24   195.97066653144645     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      25   237.702907243702       
7972dddf-ec31-4028-ac54-a0cd33214a03 14      26   165.2493178773226      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      27   308.36062967969065     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      28   279.6866861486162      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      29   311.03639304415015     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      30   176.8442818115823      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      31   289.2223047291702      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      32   196.54060722606528     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      33   291.7706799410307      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      34   207.0532895163451      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      35   230.12795240553214     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      36   257.4960486372247      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      37   256.27583084384355     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      38   178.6003233261456      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      39   213.62932746179922     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      40   343.43742977963365     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      41   177.4128878405711      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      42   284.94085963108        
7972dddf-ec31-4028-ac54-a0cd33214a03 14      43   155.0934999582978      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      44   306.92172802197183     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      45   147.9742036413018      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      46   343.6395961054543      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      47   177.13446216671946     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      48   224.03767289777488     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      49   204.6170577473083      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      50   245.05599852493313     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      51   209.19030234381694     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      52   297.5051528688682      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      53   234.97250057672272     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      54   148.42586190747306     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      55   254.3884878382775      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      56   321.05154848383427     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      57   238.96212100518596     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      58   303.32835194926906     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      59   144.05722893940094     
